species,animal_id,t,body_temp_c,heart_rate_bpm,resp_rate_bpm,activity_idx,cough_count,rumination_min,ambient_temp_c,ambient_humidity_pct,label
Cattle,CA_000,0,39.871,62.52,32.56,0.195,6,32.9,22.39,65.48,1
Cattle,CA_000,1,40.071,62.55,30.46,0.297,2,26.68,22.6,64.22,1
Cattle,CA_000,2,39.836,66.04,32.95,0.321,2,34.95,24.27,63.72,1
Cattle,CA_000,3,39.599,59.03,31.94,0.341,5,28.04,25.88,60.74,1
Cattle,CA_000,4,38.986,53.49,25.45,0.502,0,43.58,27.19,67.17,0
Cattle,CA_000,5,38.887,52.12,27.15,0.542,0,44.69,27.46,75.84,0
Cattle,CA_000,6,38.895,54.81,26.59,0.479,0,43.41,26.66,68.26,0
Cattle,CA_000,7,38.895,50.31,26.79,0.571,0,44.21,26.88,82.2,0
Cattle,CA_000,8,38.789,54.7,25.78,0.502,0,43.12,28.33,69.0,0
Cattle,CA_000,9,40.04,62.56,32.41,0.246,3,25.67,26.14,78.91,1
Cattle,CA_000,10,39.861,67.27,33.85,0.231,2,29.82,27.0,73.55,1
Cattle,CA_000,11,38.703,52.1,26.82,0.445,0,46.19,26.06,72.38,0
Cattle,CA_000,12,40.302,66.41,32.61,0.401,7,36.56,22.26,75.98,1
Cattle,CA_000,13,38.641,45.36,23.02,0.487,0,45.55,20.78,66.49,0
Cattle,CA_000,14,39.741,61.25,30.49,0.301,2,33.18,18.24,63.57,1
Cattle,CA_000,15,39.94,61.84,33.16,0.488,2,26.39,18.75,60.63,1
Cattle,CA_000,16,39.755,59.68,33.61,0.309,2,30.6,16.87,64.5,1
Cattle,CA_000,17,39.937,65.63,32.84,0.238,3,23.94,13.83,60.86,1
Cattle,CA_000,18,39.44,57.33,32.12,0.287,1,24.63,14.76,57.64,1
Cattle,CA_000,19,39.332,63.58,33.09,0.322,5,28.76,16.58,62.19,1
Cattle,CA_000,20,39.542,61.98,33.18,0.32,2,27.95,15.83,59.96,1
Cattle,CA_000,21,38.66,44.75,24.35,0.549,0,45.55,18.1,61.95,0
Cattle,CA_000,22,38.638,48.01,25.23,0.561,0,47.63,18.48,57.2,0
Cattle,CA_000,23,39.747,64.1,32.63,0.322,3,29.63,22.05,57.07,1
Cattle,CA_000,24,39.305,56.79,32.54,0.388,1,30.95,21.69,62.12,1
Cattle,CA_000,25,39.696,62.38,33.12,0.321,2,25.11,24.81,70.01,1
Cattle,CA_000,26,38.978,52.98,25.7,0.524,0,40.4,26.73,57.61,0
Cattle,CA_000,27,38.842,51.35,24.66,0.662,0,42.95,26.38,60.61,0
Cattle,CA_000,28,38.623,52.72,25.28,0.545,0,45.99,26.6,64.16,0
Cattle,CA_000,29,38.733,54.51,26.82,0.554,0,45.89,27.12,67.12,0
Cattle,CA_000,30,38.922,54.28,25.5,0.624,0,43.23,27.45,65.01,0
Cattle,CA_000,31,38.889,51.51,27.02,0.519,0,41.01,28.35,69.21,0
Cattle,CA_000,32,39.766,63.39,33.05,0.232,6,32.19,29.12,81.87,1
Cattle,CA_000,33,40.051,63.72,33.56,0.455,0,28.4,27.59,78.74,1
Cattle,CA_000,34,39.794,61.15,35.06,0.31,3,38.71,24.96,76.2,1
Cattle,CA_000,35,38.695,52.83,26.1,0.62,1,42.24,23.57,72.53,0
Cattle,CA_000,36,39.449,63.37,32.62,0.322,2,32.37,22.41,79.42,1
Cattle,CA_000,37,39.571,61.66,36.0,0.333,2,24.75,20.07,71.81,1
Cattle,CA_000,38,39.685,62.01,34.09,0.341,3,31.3,18.32,67.14,1
Cattle,CA_000,39,39.713,70.34,35.21,0.331,4,31.0,18.13,66.69,1
Cattle,CA_000,40,39.631,66.42,33.82,0.316,2,24.37,16.97,62.17,1
Cattle,CA_000,41,39.673,63.51,31.84,0.276,3,34.31,17.12,59.16,1
Cattle,CA_000,42,39.527,55.79,34.24,0.387,3,27.91,14.96,61.83,1
Cattle,CA_000,43,39.406,60.77,31.1,0.253,2,26.61,16.94,63.58,1
Cattle,CA_000,44,39.571,62.04,31.28,0.341,3,25.68,17.94,48.99,1
Cattle,CA_000,45,38.725,51.26,25.14,0.554,0,43.86,17.83,46.72,0
